session_ID,station_ID,port_ID,session_start,session_end,kWh_delivered,payment_required
2_39_81_4550_2021-05-11 02:30:53.511937,39,2-39-81-4550,2021-05-11T02:31:02Z,2021-05-11T04:19:58Z,72.582,TRUE
2_39_79_383_2021-05-11 03:58:52.346595,39,2-39-79-383,2021-05-11T03:58:52Z,2021-05-11T07:13:28Z,17.449,TRUE
2_39_129_17_2021-05-11 14:40:47.960194,39,2-39-129-17,2021-05-11T14:41:01Z,2021-05-12T00:35:20Z,6.346,TRUE
2_39_81_4550_2021-05-11 15:42:29.943432,39,2-39-81-4550,2021-05-11T15:42:46Z,2021-05-11T16:45:46Z,46.616,TRUE
2_39_127_561_2021-05-11 16:57:56.230253,39,2-39-127-561,2021-05-11T16:57:56Z,2021-05-11T19:06:38Z,0.949,
2_39_79_379_2021-05-11 17:23:53.414768,39,2-39-79-379,2021-05-11T17:24:15Z,2021-05-12T01:25:17Z,10.018,TRUE
2_39_125_21_2021-05-11 19:58:47.422522,39,2-39-125-21,2021-05-11T19:58:56Z,2021-05-11T22:35:24Z,1.89,TRUE
2_39_79_377_2021-05-11 20:48:33.736669,39,2-39-79-377,2021-05-11T20:48:49Z,2021-05-12T05:12:34Z,10.709,TRUE
2_39_78_365_2021-05-11 20:53:15.240262,39,2-39-78-365,2021-05-11T20:53:48Z,2021-05-12T03:13:25Z,2.219,TRUE
2_39_139_28_2021-05-11 20:56:48.893155,39,2-39-139-28,2021-05-11T20:56:49Z,2021-05-12T00:14:38Z,0.787,
2_39_81_4550_2021-05-11 22:07:30.385687,39,2-39-81-4550,2021-05-11T22:07:37Z,2021-05-11T22:30:02Z,7.188,TRUE
2_39_81_4550_2021-05-12 01:03:30.432119,39,2-39-81-4550,2021-05-12T01:03:46Z,2021-05-12T01:24:36Z,9.754,TRUE
2_39_83_386_2021-05-12 02:01:15.914994,39,2-39-83-386,2021-05-12T02:01:16Z,2021-05-12T03:42:32Z,2.533,TRUE
2_39_81_4550_2021-05-12 02:52:43.024250,39,2-39-81-4550,2021-05-12T02:52:53Z,2021-05-12T04:00:03Z,16.962,TRUE
2_39_81_4550_2021-05-12 13:35:46.963955,39,2-39-81-4550,2021-05-12T13:36:03Z,2021-05-12T14:32:02Z,42.358,TRUE
2_39_79_380_2021-05-12 15:32:50.019390,39,2-39-79-380,2021-05-12T15:33:02Z,2021-05-13T00:19:34Z,3.936,TRUE
2_39_79_379_2021-05-12 16:59:21.191013,39,2-39-79-379,2021-05-12T16:59:21Z,2021-05-12T18:27:53Z,2.506,TRUE
2_39_139_28_2021-05-12 17:22:15.502381,39,2-39-139-28,2021-05-12T17:22:22Z,2021-05-13T02:20:04Z,6.207,TRUE
2_39_131_30_2021-05-12 18:44:43.892736,39,2-39-131-30,2021-05-12T18:45:03Z,2021-05-13T01:50:04Z,11.424,TRUE
2_39_129_17_2021-05-12 20:04:08.802050,39,2-39-129-17,2021-05-12T20:04:13Z,2021-05-13T00:03:53Z,4.614,TRUE
2_39_138_29_2021-05-12 21:13:11.290298,39,2-39-138-29,2021-05-12T21:13:19Z,2021-05-13T00:07:26Z,6.282,TRUE
2_39_79_378_2021-05-12 21:53:14.974222,39,2-39-79-378,2021-05-12T21:53:30Z,2021-05-13T04:26:08Z,8.304,TRUE
2_39_130_31_2021-05-12 23:12:07.828084,39,2-39-130-31,2021-05-12T23:12:27Z,2021-05-13T03:50:32Z,16.055,TRUE
2_39_125_21_2021-05-12 23:33:30.794255,39,2-39-125-21,2021-05-12T23:33:44Z,2021-05-13T00:31:23Z,1.908,TRUE
2_39_81_4550_2021-05-13 00:34:16.882154,39,2-39-81-4550,2021-05-13T00:34:44Z,2021-05-13T01:31:53Z,15.344,TRUE
2_39_128_18_2021-05-13 01:15:39.553753,39,2-39-128-18,2021-05-13T01:16:12Z,2021-05-13T02:38:22Z,9.324,TRUE
2_39_126_20_2021-05-13 01:43:25.931020,39,2-39-126-20,2021-05-13T01:44:14Z,2021-05-13T04:16:17Z,8.977,TRUE
2_39_81_4550_2021-05-13 03:09:18.193911,39,2-39-81-4550,2021-05-13T03:09:31Z,2021-05-13T04:18:31Z,37.65,TRUE
2_39_81_4550_2021-05-13 14:25:18.737320,39,2-39-81-4550,2021-05-13T14:25:32Z,2021-05-13T14:42:56Z,6.418,TRUE
2_39_81_4550_2021-05-13 15:56:14.319151,39,2-39-81-4550,2021-05-13T15:56:21Z,2021-05-13T16:34:33Z,27.088,TRUE
2_39_79_379_2021-05-13 16:10:48.774986,39,2-39-79-379,2021-05-13T16:10:49Z,2021-05-13T23:30:27Z,0.956,
2_39_79_377_2021-05-13 16:11:59.096872,39,2-39-79-377,2021-05-13T16:12:04Z,2021-05-14T01:20:38Z,9.79,TRUE
2_39_81_4550_2021-05-13 17:35:29.864993,39,2-39-81-4550,2021-05-13T17:36:04Z,2021-05-13T18:41:44Z,49.224,TRUE
2_39_129_17_2021-05-13 20:34:39.940196,39,2-39-129-17,2021-05-13T20:34:50Z,2021-05-13T23:59:45Z,2.6,TRUE
